date,ticker,open,high,low,close,volume
2025-01-02,BBCA,9650.000,9900.000,9650.000,9900.000,38124800
2025-01-03,BBCA,9850.000,9925.000,9825.000,9850.000,41916000
2025-01-06,BBCA,9850.000,9875.000,9650.000,9675.000,41593900
2025-01-07,BBCA,9675.000,9725.000,9525.000,9525.000,71318600
2025-01-08,BBCA,9675.000,9775.000,9575.000,9675.000,55943100
2025-01-09,BBCA,9750.000,9875.000,9725.000,9850.000,42733800
2025-01-10,BBCA,9800.000,9925.000,9725.000,9725.000,72531300
2025-01-13,BBCA,9625.000,9725.000,9625.000,9675.000,88270100
2025-01-14,BBCA,9600.000,9725.000,9525.000,9525.000,70942600
2025-01-15,BBCA,9575.000,9800.000,9550.000,9800.000,77098000
2025-01-16,BBCA,9850.000,9925.000,9750.000,9750.000,76979000
2025-01-17,BBCA,9750.000,9900.000,9650.000,9900.000,71033100
2025-01-20,BBCA,9850.000,9875.000,9625.000,9625.000,112111200
2025-01-21,BBCA,9600.000,9675.000,9550.000,9575.000,124547900
2025-01-22,BBCA,9650.000,9675.000,9575.000,9600.000,90154800
2025-01-23,BBCA,9600.000,9750.000,9600.000,9600.000,120515400
2025-01-24,BBCA,9625.000,9650.000,9350.000,9350.000,152057000
2025-01-30,BBCA,9150.000,9275.000,9150.000,9150.000,154645800
2025-01-31,BBCA,9250.000,9500.000,9225.000,9450.000,112982800
2025-02-03,BBCA,9400.000,9400.000,9225.000,9350.000,90439900
2025-02-04,BBCA,9350.000,9400.000,9175.000,9175.000,94607700
2025-02-05,BBCA,9100.000,9175.000,9100.000,9125.000,98229900
2025-02-06,BBCA,9075.000,9100.000,8850.000,8950.000,171477800
2025-02-07,BBCA,8950.000,9350.000,8825.000,9350.000,131162200
2025-02-10,BBCA,9025.000,9250.000,9025.000,9150.000,76209100
2025-02-11,BBCA,9025.000,9100.000,9000.000,9075.000,71188300
2025-02-12,BBCA,8950.000,9150.000,8950.000,9150.000,121172600
2025-02-13,BBCA,9100.000,9150.000,9000.000,9000.000,90439700
2025-02-14,BBCA,9000.000,9075.000,8950.000,8975.000,116274500
2025-02-17,BBCA,8975.000,9325.000,8975.000,9325.000,89096400
2025-02-18,BBCA,9325.000,9575.000,9250.000,9300.000,107318300
2025-02-19,BBCA,9225.000,9250.000,8950.000,8950.000,154438200
2025-02-20,BBCA,8975.000,9025.000,8950.000,9000.000,119260800
2025-02-21,BBCA,8950.000,9000.000,8925.000,9000.000,106054700
2025-02-24,BBCA,8925.000,8975.000,8875.000,8925.000,108530300
2025-02-25,BBCA,8900.000,9000.000,8825.000,8825.000,101592700
2025-02-26,BBCA,8800.000,8900.000,8725.000,8775.000,117843500
2025-02-27,BBCA,8800.000,8800.000,8500.000,8525.000,199991600
2025-02-28,BBCA,8525.000,8675.000,8425.000,8425.000,293095000
2025-03-03,BBCA,8600.000,8900.000,8550.000,8800.000,192944300
2025-03-04,BBCA,8900.000,8925.000,8675.000,8850.000,125418500
2025-03-05,BBCA,8825.000,9175.000,8825.000,9000.000,155207900
2025-03-06,BBCA,9200.000,9200.000,8975.000,8975.000,96270100
2025-03-07,BBCA,9000.000,9000.000,8925.000,8925.000,82295300
2025-03-10,BBCA,8750.000,8975.000,8725.000,8925.000,97652100
2025-03-11,BBCA,8950.000,9050.000,8875.000,8925.000,109295600
2025-03-12,BBCA,9025.000,9125.000,8975.000,9125.000,87968900
2025-03-13,BBCA,9150.000,9175.000,8975.000,8975.000,83030700
2025-03-14,BBCA,8800.000,8925.000,8750.000,8750.000,111397800
2025-03-17,BBCA,8750.000,8775.000,8550.000,8600.000,151365700
2025-03-18,BBCA,8500.000,8550.000,8075.000,8300.000,417305700
2025-03-19,BBCA,8300.000,8400.000,8225.000,8325.000,214108200
2025-03-20,BBCA,8450.000,8475.000,8350.000,8375.000,152917300
2025-03-21,BBCA,8275.000,8275.000,7900.000,7900.000,377916400
2025-03-24,BBCA,7825.000,8100.000,7625.000,7950.000,331836800
2025-03-25,BBCA,8075.000,8150.000,8000.000,8050.000,136341700
2025-03-26,BBCA,8300.000,8650.000,8275.000,8525.000,283104600
2025-03-27,BBCA,8425.000,8575.000,8375.000,8500.000,122943900
2025-04-08,BBCA,7400.000,8000.000,7275.000,7775.000,533073600
2025-04-09,BBCA,7700.000,7950.000,7675.000,7925.000,136753900
2025-04-10,BBCA,8500.000,8650.000,8175.000,8225.000,144148600
2025-04-11,BBCA,8200.000,8325.000,8050.000,8275.000,82612400
2025-04-14,BBCA,8250.000,8400.000,8250.000,8400.000,83319300
2025-04-15,BBCA,8575.000,8600.000,8450.000,8575.000,83432800
2025-04-16,BBCA,8500.000,8550.000,8425.000,8475.000,76886000
2025-04-17,BBCA,8450.000,8500.000,8350.000,8500.000,83540600
2025-04-21,BBCA,8500.000,8500.000,8300.000,8300.000,40683800
2025-04-22,BBCA,8325.000,8500.000,8325.000,8500.000,56537100
2025-04-23,BBCA,8550.000,8725.000,8550.000,8725.000,92329600
2025-04-24,BBCA,8850.000,8850.000,8475.000,8475.000,143675300
2025-04-25,BBCA,8650.000,8650.000,8575.000,8600.000,58297000
2025-04-28,BBCA,8750.000,8775.000,8650.000,8775.000,73235400
2025-04-29,BBCA,8800.000,8825.000,8700.000,8725.000,60315700
2025-04-30,BBCA,8800.000,8925.000,8675.000,8825.000,164597500
2025-05-02,BBCA,9000.000,9000.000,8850.000,8975.000,92219000
2025-05-05,BBCA,9000.000,9050.000,8975.000,8975.000,86385600
2025-05-06,BBCA,9050.000,9050.000,8975.000,9025.000,48860500
2025-05-07,BBCA,9075.000,9100.000,9000.000,9075.000,77382000
2025-05-08,BBCA,9075.000,9200.000,8925.000,8975.000,99614500
2025-05-09,BBCA,9050.000,9050.000,8975.000,9000.000,47167500
2025-05-14,BBCA,9250.000,9300.000,9150.000,9275.000,149002900
2025-05-15,BBCA,9275.000,9400.000,9250.000,9275.000,101401300
2025-05-16,BBCA,9300.000,9325.000,9225.000,9300.000,63007500
